,Movie_Name,Director1,Director2,Director3,Duration,year,Ratings,Metascore,Sno
0,Spider-Man: Across the Spider-Verse,Joaquim Dos Santos,Kemp Powers,Justin K. Thompson,140 min,2023,9.1,86,1
1,The Dark Knight,Christopher Nolan,N/A,N/A,152 min,2008,9.0,84,2
2,The Lord of the Rings: The Return of the King,Peter Jackson,N/A,N/A,201 min,2003,9.0,94,3
3,Inception,Christopher Nolan,N/A,N/A,148 min,2010,8.8,74,4
4,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,N/A,N/A,178 min,2001,8.8,92,5
5,The Lord of the Rings: The Two Towers,Peter Jackson,N/A,N/A,179 min,2002,8.8,87,6
6,The Matrix,Lana Wachowski,Lilly Wachowski,N/A,136 min,1999,8.7,73,7
7,Star Wars: Episode V - The Empire Strikes Back,Irvin Kershner,N/A,N/A,124 min,1980,8.7,82,8
8,Soorarai Pottru,Sudha Kongara,N/A,N/A,153 min,2020,8.7,N/A,9
9,Star Wars: Episode IV - A New Hope,George Lucas,N/A,N/A,121 min,1977,8.6,90,10
10,Terminator 2: Judgment Day,James Cameron,N/A,N/A,137 min,1991,8.6,75,11
11,Seven Samurai,Akira Kurosawa,N/A,N/A,207 min,1954,8.6,98,12
12,Harakiri,Masaki Kobayashi,N/A,N/A,133 min,1962,8.6,85,13
13,Sita Ramam,Hanu Raghavapudi,N/A,N/A,163 min,2022,8.6,N/A,14
14,Léon: The Professional,Luc Besson,N/A,N/A,110 min,1994,8.5,64,15
15,Gladiator,Ridley Scott,N/A,N/A,155 min,2000,8.5,67,16
16,Spider-Man: Into the Spider-Verse,Bob Persichetti,Peter Ramsey,Rodney Rothman,117 min,2018,8.4,87,17
17,Avengers: Endgame,Anthony Russo,Joe Russo,N/A,181 min,2019,8.4,78,18
18,Indiana Jones and the Raiders of the Lost Ark,Steven Spielberg,N/A,N/A,115 min,1981,8.4,85,19
19,Avengers: Infinity War,Anthony Russo,Joe Russo,N/A,149 min,2018,8.4,68,20
20,Oldboy,Park Chan-wook,N/A,N/A,101 min,2003,8.4,77,21
21,The Dark Knight Rises,Christopher Nolan,N/A,N/A,164 min,2012,8.4,78,22
22,Aliens,James Cameron,N/A,N/A,137 min,1986,8.4,84,23
23,Kaithi,Lokesh Kanagaraj,N/A,N/A,145 min,2019,8.4,N/A,24
24,Asuran,Vetrimaaran,N/A,N/A,141 min,2019,8.4,N/A,25
25,Top Gun: Maverick,Joseph Kosinski,N/A,N/A,130 min,2022,8.3,78,26
26,Heat,Michael Mann,N/A,N/A,170 min,1995,8.3,76,27
27,Star Wars: Episode VI - Return of the Jedi,Richard Marquand,N/A,N/A,131 min,1983,8.3,58,28
28,Princess Mononoke,Hayao Miyazaki,N/A,N/A,134 min,1997,8.3,76,29
29,North by Northwest,Alfred Hitchcock,N/A,N/A,136 min,1959,8.3,98,30
30,Kantara,Rishab Shetty,N/A,N/A,148 min,2022,8.3,N/A,31
31,Dangal,Nitesh Tiwari,N/A,N/A,161 min,2016,8.3,N/A,32
32,K.G.F: Chapter 2,Prashanth Neel,N/A,N/A,168 min,2022,8.3,N/A,33
33,Vikram,Lokesh Kanagaraj,N/A,N/A,175 min,2022,8.3,N/A,34
34,Raatchasan,Ram Kumar,N/A,N/A,170 min,2018,8.3,N/A,35
35,Shershaah,Vishnuvardhan,N/A,N/A,135 min,2021,8.3,N/A,36
36,Guardians of the Galaxy Vol,James Gunn,N/A,N/A,150 min,2023,8.2,64,37
37,Spider-Man: No Way Home,Jon Watts,N/A,N/A,148 min,2021,8.2,71,38
38,Jurassic Park,Steven Spielberg,N/A,N/A,127 min,1993,8.2,68,39
39,Indiana Jones and the Last Crusade,Steven Spielberg,N/A,N/A,127 min,1989,8.2,65,40
40,1917,Sam Mendes,N/A,N/A,119 min,2019,8.2,78,41
41,Kill Bill: Vol,Quentin Tarantino,N/A,N/A,111 min,2003,8.2,69,42
42,Batman Begins,Christopher Nolan,N/A,N/A,140 min,2005,8.2,70,43
43,Die Hard,John McTiernan,N/A,N/A,132 min,1988,8.2,72,44
44,V for Vendetta,James McTeigue,N/A,N/A,132 min,2005,8.2,62,45
45,Demon Slayer the Movie: Mugen Train,Haruo Sotozaki,N/A,N/A,117 min,2020,8.2,72,46
46,Ran,Akira Kurosawa,N/A,N/A,162 min,1985,8.2,97,47
47,Gangs of Wasseypur,Anurag Kashyap,N/A,N/A,321 min,2012,8.2,89,48
48,Vikram Vedha,Gayatri,Pushkar,Gowtham Selvaraj,147 min,2017,8.2,N/A,49
49,Baahubali 2: The Conclusion,S.S. Rajamouli,N/A,N/A,167 min,2017,8.2,N/A,50
50,Yojimbo,Akira Kurosawa,N/A,N/A,110 min,1961,8.2,93,51
51,Uri: The Surgical Strike,Aditya Dhar,N/A,N/A,138 min,2019,8.2,N/A,52
