,Movie_Name,Star1,Star2,Star3,Star4,Votes,Genre1,Genre2,Genre3,Gross_Collection,Popularity,Certification
0,Spider-Man: Across the Spider-Verse,Shameik Moore,Hailee Steinfeld,Oscar Isaac,Jake Johnson,"29,474",Animation,Adventure,Adventure,69100000,23,PG
1,The Dark Knight,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,"2,719,284",Action,Drama,Drama,1006234167,117,PG-13
2,The Lord of the Rings: The Return of the King,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,"1,887,739",Action,Drama,Drama,1147633833,407,PG-13
3,Inception,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,"2,413,938",Action,Sci-Fi,Sci-Fi,870110523,103,PG-13
4,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,"1,916,363",Action,Drama,Drama,898204420,184,PG-13
5,The Lord of the Rings: The Two Towers,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,"1,703,851",Action,Drama,Drama,947944270,788,PG-13
6,The Matrix,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,"1,958,520",Action,N/A,N/A,467222728,201,R
7,Star Wars: Episode V - The Empire Strikes Back,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,"1,321,553",Action,Fantasy,Fantasy,538375067,603,PG
8,Soorarai Pottru,Suriya,Paresh Rawal,Aparna Balamurali,Urvashi,"119,526",Action,N/A,N/A,N/A,N/A,TV-MA
9,Star Wars: Episode IV - A New Hope,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,"1,394,011",Action,Fantasy,Fantasy,775398007,245,PG
10,Terminator 2: Judgment Day,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,"1,123,411",Action,N/A,N/A,520881154,473,R
11,Seven Samurai,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,"352,930",Action,N/A,N/A,346258,"1,508",Not Rated
12,Harakiri,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,"61,021",Action,Mystery,Mystery,15222,"3,285",Not Rated
13,Sita Ramam,Dulquer Salmaan,Mrunal Thakur,Rashmika Mandanna,Sumanth,"59,972",Action,Mystery,Mystery,2208029,N/A,U
14,Léon: The Professional,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,"1,189,772",Action,Drama,Drama,19569225,204,R
15,Gladiator,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,"1,536,661",Action,Drama,Drama,503162313,227,R
16,Spider-Man: Into the Spider-Verse,Shameik Moore,Jake Johnson,Hailee Steinfeld,Mahershala Ali,"568,783",Animation,Adventure,Adventure,384256930,86,PG
17,Avengers: Endgame,Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,"1,180,738",Action,Drama,Drama,2799439100,120,PG-13
